compras values (7804, '01510441', '00124', '2011/10/24', null, 14, 382380, '029')
receber values(34027, '28798', '01529240', '2011/11/28', '2011/12/12', 1013070, 1013070, 0, 'NF', 'LCP3836', 'T', null, '029')
receber values(1479, '28904', '05242768', '2011/10/03', '2011/10/18', 499920, 514920, 15000, 'NF', 'DLU0835', 'B', null, '029')
receber values(1480, '28904', '05243300', '2011/10/05', '2011/10/20', 387920, 395680, 7760, 'NF', 'DLU0835', 'B', null, '029')
receber values(1481, '28904', '05243786', '2011/10/07', '2011/10/22', 559610, 593190, 33580, 'NF', 'DLU0835', 'B', null, '029')
receber values(6532, '28904', '05244637', '2011/10/12', '2011/10/27', 310430, 321300, 10870, 'NF', 'DLU0835', 'B', null, '029')
receber values(6533, '28904', '05245114', '2011/10/14', '2011/10/29', 718830, 736800, 17970, 'NF', 'DLU0835', 'B', null, '029')
receber values(6534, '28904', '05246162', '2011/10/20', '2011/11/04', 664310, 680920, 16610, 'NF', 'DLU0835', 'B', null, '029')
receber values(11366, '28904', '05246653', '2011/10/24', '2011/11/08', 671540, 674900, 3360, 'NF', 'DLU0835', 'B', null, '029')
receber values(12855, '28904', '05247174', '2011/10/26', '2011/11/10', 824380, 873840, 49460, 'NF', 'DLU0835', 'B', null, '029')
receber values(16317, '28904', '05248002', '2011/10/31', '2011/11/15', 725250, 750630, 25380, 'NF', 'DLU0835', 'B', null, '029')
receber values(21933, '28904', '05249497', '2011/11/08', '2011/11/23', 647870, 647870, 0, 'NF', 'DLU0835', 'T', null, '029')
receber values(21934, '28904', '05250272', '2011/11/11', '2011/11/26', 803190, 803190, 0, 'NF', 'DLU0835', 'T', null, '029')
receber values(28141, '28904', '05251092', '2011/11/16', '2011/12/01', 630690, 630690, 0, 'NF', 'DLU0835', 'T', null, '029')
receber values(31250, '28904', '05252456', '2011/11/23', '2011/12/08', 935610, 935610, 0, 'NF', 'DLU0835', 'T', null, '029')
receber values(34955, '28904', '05253402', '2011/11/29', '2011/12/14', 978950, 978950, 0, 'NF', 'DLU0835', 'T', null, '029')
receber values(6535, '29116', '01509510', '2011/10/23', '2011/11/02', 206450, 207480, 1030, 'NF', 'LUF0315', 'B', null, '029')
receber values(35871, '29116', '01530541', '2011/11/30', '2011/12/10', 135800, 135800, 0, 'NF', 'LUF0315', 'T', null, '029')
receber values(6536, '29237', '01508178', '2011/10/20', '2011/10/30', 191460, 192420, 960, 'NF', 'KYK5632', 'B', null, '029')
receber values(16318, '29237', '01513371', '2011/10/31', '2011/11/10', 264170, 264170, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(21935, '29237', '01519758', '2011/11/10', '2011/11/20', 230070, 230070, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(32168, '29237', '01527170', '2011/11/24', '2011/12/04', 235710, 235710, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(6537, '29515', '01499980', '2011/10/04', '2011/10/25', 902250, 902250, 0, 'NF', 'LCP3836', 'B', null, '029')
receber values(6538, '29515', '01500710', '2011/10/05', '2011/10/26', 412400, 412400, 0, 'NF', 'LCP3836', 'B', null, '029')
receber values(6539, '29515', '01501986', '2011/10/07', '2011/10/28', 415000, 415000, 0, 'NF', 'LCP3836', 'B', null, '029')
receber values(6540, '29515', '01505750', '2011/10/14', '2011/11/04', 680800, 680800, 0, 'NF', 'LCP3836', 'B', null, '029')
receber values(6541, '29515', '01508828', '2011/10/20', '2011/11/10', 833600, 833600, 0, 'NF', 'LGY8427', 'B', null, '029')
receber values(16319, '29515', '01514660', '2011/11/01', '2011/11/22', 1203380, 1203380, 0, 'NF', 'LCP3836', 'B', null, '029')
receber values(21936, '29515', '01517983', '2011/11/07', '2011/11/28', 397260, 397260, 0, 'NF', 'LCP3836', 'B', null, '029')
receber values(21937, '29515', '01520409', '2011/11/10', '2011/12/01', 608790, 608790, 0, 'NF', 'LGY8427', 'T', null, '029')
receber values(21938, '29515', '01521788', '2011/11/14', '2011/12/05', 1389010, 1389010, 0, 'NF', 'LCP3836', 'T', null, '029')
receber values(28142, '29515', '01524470', '2011/11/18', '2011/12/09', 549800, 549800, 0, 'NF', 'LCP3836', 'T', null, '029')
receber values(28143, '29515', '01525648', '2011/11/21', '2011/12/12', 1315720, 1315720, 0, 'NF', 'LCP3836', 'T', null, '029')
receber values(34028, '29515', '01529225', '2011/11/28', '2011/12/19', 871150, 871150, 0, 'NF', 'LCP3836', 'T', null, '029')
receber values(16320, '29515', '02514373', '2011/10/31', '2011/11/21', 1161800, 1161800, 0, 'NF', 'LGY8427', 'B', null, '029')
receber values(1482, '29516', '01207466', '2011/02/19', '2011/03/05', 338000, 1375660, 1037660, 'NF', 'LRX2193', 'T', null, '029')
receber values(6542, '29607', '01502111', '2011/10/09', '2011/10/30', 235700, 235700, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(6543, '29607', '01504700', '2011/10/13', '2011/11/03', 522610, 522610, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(6544, '29607', '01506876', '2011/10/18', '2011/11/08', 165800, 165800, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(6545, '29607', '01508172', '2011/10/20', '2011/11/10', 284230, 284230, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(16321, '29607', '01513361', '2011/10/31', '2011/11/21', 481840, 481840, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(21939, '29607', '01515521', '2011/11/03', '2011/11/24', 350430, 350430, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(21940, '29607', '01516930', '2011/11/06', '2011/11/27', 185040, 185040, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(21941, '29607', '01519015', '2011/11/09', '2011/11/30', 461450, 461450, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(28144, '29607', '01522683', '2011/11/16', '2011/12/07', 170290, 170290, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(28145, '29607', '01525126', '2011/11/21', '2011/12/12', 276200, 276200, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(34956, '29607', '01529474', '2011/11/29', '2011/12/20', 329930, 329930, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(34957, '29607', '01529475', '2011/11/29', '2011/12/20', 424960, 424960, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(1483, '29744', '01486687', '2011/09/09', '2011/09/16', 769970, 1062560, 292590, 'NF', 'LCP3836', 'T', null, '029')
receber values(13732, '29878', '01511962', '2011/10/27', '2011/11/17', 172440, 172440, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(21942, '29878', '01517443', '2011/11/07', '2011/11/28', 434350, 434350, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(32169, '29878', '01527165', '2011/11/24', '2011/12/15', 511290, 511290, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(34029, '29878', '01528771', '2011/11/28', '2011/12/19', 1684950, 1684950, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(11367, '29879', '01509738', '2011/10/24', '2011/11/14', 425630, 425630, 0, 'NF', 'LQO1343', 'B', null, '029')
receber values(21943, '29879', '01518876', '2011/11/09', '2011/11/30', 357760, 357760, 0, 'NF', 'LQO1343', 'B', null, '029')
receber values(6546, '29922', '01501513', '2011/10/06', '2011/10/27', 973800, 973800, 0, 'NF', 'LCE4302', 'B', null, '029')
receber values(6547, '29922', '01507317', '2011/10/18', '2011/11/08', 1684970, 1684970, 0, 'NF', 'LCE4302', 'B', null, '029')
receber values(32170, '29922', '01527745', '2011/11/24', '2011/12/15', 1449700, 1449700, 0, 'NF', 'LCE4302', 'T', null, '029')
receber values(34958, '29922', '01529936', '2011/11/29', '2011/12/20', 1283550, 1283550, 0, 'NF', 'LCE4302', 'T', null, '029')
receber values(16322, '29922', '02514315', '2011/10/31', '2011/11/21', 537920, 537920, 0, 'NF', 'LCE4302', 'B', null, '029')
receber values(1484, '30159', '01498202', '2011/10/02', '2011/10/23', 132980, 133640, 660, 'NF', 'KYK5632', 'B', null, '029')
receber values(6548, '30159', '01498721', '2011/10/03', '2011/10/24', 177480, 177480, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(6549, '30159', '01500249', '2011/10/05', '2011/10/26', 93500, 93500, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(6550, '30159', '01502744', '2011/10/10', '2011/10/31', 245610, 245610, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(6551, '30159', '01506279', '2011/10/17', '2011/11/07', 174170, 174170, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(6552, '30159', '01509267', '2011/10/23', '2011/11/13', 354880, 360200, 5320, 'NF', 'CXV9668', 'B', null, '029')
receber values(11368, '30159', '01509885', '2011/10/24', '2011/11/14', 232740, 235070, 2330, 'NF', 'KYK5632', 'B', null, '029')
receber values(14759, '30159', '01512997', '2011/10/30', '2011/11/20', 365980, 365980, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(21944, '30159', '01515529', '2011/11/03', '2011/11/24', 274340, 274340, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(28146, '30159', '01523423', '2011/11/17', '2011/12/08', 233500, 233500, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(28147, '30159', '01525133', '2011/11/21', '2011/12/12', 178420, 178420, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(33203, '30159', '01528258', '2011/11/27', '2011/12/18', 360060, 360060, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(16323, '31271', '01513385', '2011/10/31', '2011/11/14', 647880, 654360, 6480, 'NF', 'LQO1343', 'B', null, '029')
receber values(1485, '31292', '01503949', '2011/10/12', '2011/10/22', 435130, 439480, 4350, 'NF', 'KYK5632', 'B', null, '029')
receber values(6553, '31292', '01506280', '2011/10/17', '2011/10/27', 567780, 567780, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(6554, '31292', '01507614', '2011/10/19', '2011/10/29', 124800, 124800, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(6555, '31292', '01509270', '2011/10/23', '2011/11/02', 480070, 480070, 0, 'NF', 'CXV9668', 'B', null, '029')
receber values(11369, '31292', '01510631', '2011/10/25', '2011/11/04', 574460, 574460, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(14760, '31292', '01512701', '2011/10/28', '2011/11/07', 577360, 577360, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(16324, '31292', '01513372', '2011/10/31', '2011/11/10', 311130, 311130, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(16325, '31292', '01514920', '2011/11/02', '2011/11/12', 620840, 633260, 12420, 'NF', 'KYK5632', 'B', null, '029')
receber values(18900, '31292', '01515534', '2011/11/03', '2011/11/13', 704860, 715430, 10570, 'NF', 'KYK5632', 'B', null, '029')
receber values(18901, '31292', '01516540', '2011/11/04', '2011/11/14', 162480, 164100, 1620, 'NF', 'KYK5632', 'B', null, '029')
receber values(21945, '31292', '01518263', '2011/11/08', '2011/11/18', 490520, 490520, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(28148, '31292', '01522693', '2011/11/16', '2011/11/26', 529760, 529760, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(28149, '31292', '01522695', '2011/11/16', '2011/11/26', 487580, 487580, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(28150, '31292', '01525136', '2011/11/21', '2011/12/01', 666770, 666770, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(32171, '31292', '01527171', '2011/11/24', '2011/12/04', 648630, 648630, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(33204, '31292', '01527929', '2011/11/25', '2011/12/05', 644540, 644540, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(35872, '31292', '01530109', '2011/11/30', '2011/12/10', 496290, 496290, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(14761, '31314', '01513206', '2011/10/30', '2011/11/09', 416600, 416600, 0, 'NF', 'KUV3781', 'B', null, '029')
receber values(6556, '31503', '01508740', '2011/10/20', '2011/11/04', 182520, 182520, 0, 'NF', 'DLU0835', 'B', null, '029')
receber values(21946, '31503', '01517930', '2011/11/07', '2011/11/28', 845280, 845280, 0, 'NF', 'DLU0835', 'B', null, '029')
receber values(6557, '31541', '01509298', '2011/10/23', '2011/11/02', 206450, 207480, 1030, 'NF', 'KXH4906', 'B', null, '029')
receber values(35873, '31541', '01530216', '2011/11/30', '2011/12/10', 135800, 135800, 0, 'NF', 'CXV9668', 'T', null, '029')
receber values(1486, '32020', '01497215', '2011/09/29', '2011/10/09', 1061310, 1178050, 116740, 'NF', 'CXV9668', 'B', null, '029')
receber values(1487, '32020', '01497216', '2011/09/29', '2011/10/08', 1049750, 1170470, 120720, 'NF', 'CXV9668', 'B', null, '029')
receber values(1488, '32020', '01501724', '2011/10/07', '2011/10/17', 814660, 883910, 69250, 'NF', 'LBT3689', 'B', null, '029')
receber values(1489, '32020', '01502139', '2011/10/09', '2011/10/18', 951170, 1027260, 76090, 'NF', 'LBT3689', 'B', null, '029')
receber values(1490, '32020', '01502140', '2011/10/09', '2011/10/19', 814150, 875210, 61060, 'NF', 'LBT3689', 'B', null, '029')
receber values(6558, '32020', '01505902', '2011/10/16', '2011/10/26', 1403070, 1501280, 98210, 'NF', 'KMI7446', 'B', null, '029')
receber values(6559, '32020', '01505903', '2011/10/16', '2011/10/25', 1137680, 1188880, 51200, 'NF', 'KMI7446', 'B', null, '029')
receber values(6560, '32020', '01508214', '2011/10/20', '2011/10/29', 754640, 796150, 41510, 'NF', 'CXV9668', 'B', null, '029')
receber values(6561, '32020', '01508215', '2011/10/20', '2011/10/29', 2332460, 2460750, 128290, 'NF', 'CXV9668', 'B', null, '029')
receber values(14762, '32020', '01513011', '2011/10/30', '2011/11/09', 1118740, 1124330, 5590, 'NF', 'LBT3689', 'B', null, '029')
receber values(14763, '32020', '01513012', '2011/10/30', '2011/11/09', 3230490, 3246640, 16150, 'NF', 'LBT3689', 'B', null, '029')
receber values(21947, '32020', '01516842', '2011/11/06', '2011/11/16', 3555890, 3662570, 106680, 'NF', 'LBT3689', 'T', null, '029')
receber values(21948, '32020', '01516843', '2011/11/06', '2011/11/16', 1218360, 1254910, 36550, 'NF', 'LBT3689', 'B', null, '029')
receber values(28151, '32020', '01522706', '2011/11/16', '2011/11/25', 815400, 815400, 0, 'NF', 'CXV9668', 'B', null, '029')
receber values(28152, '32020', '01522707', '2011/11/16', '2011/11/26', 1859080, 1859080, 0, 'NF', 'CXV9668', 'B', null, '029')
receber values(31251, '32020', '01526456', '2011/11/23', '2011/12/03', 2010700, 2010700, 0, 'NF', 'CXV9668', 'T', null, '029')
receber values(31252, '32020', '01526457', '2011/11/23', '2011/12/03', 532790, 532790, 0, 'NF', 'CXV9668', 'T', null, '029')
receber values(34959, '32020', '01529501', '2011/11/29', '2011/12/09', 4001380, 4001380, 0, 'NF', 'KCC1472', 'T', null, '029')
receber values(34960, '32020', '01529502', '2011/11/29', '2011/12/09', 868940, 868940, 0, 'NF', 'KCC1472', 'T', null, '029')
receber values(6562, '32313', '01505235', '2011/10/13', '2011/10/27', 527210, 527210, 0, 'NF', 'DLU0835', 'B', null, '029')
receber values(6563, '32313', '01505716', '2011/10/14', '2011/10/28', 224800, 224800, 0, 'NF', 'DLU0835', 'B', null, '029')
receber values(6564, '32313', '01509112', '2011/10/21', '2011/11/04', 286260, 286260, 0, 'NF', 'DLU0835', 'B', null, '029')
receber values(21949, '32313', '01517941', '2011/11/07', '2011/11/21', 205700, 205700, 0, 'NF', 'DLU0835', 'B', null, '029')
receber values(21950, '32313', '01519479', '2011/11/09', '2011/11/23', 352980, 352980, 0, 'NF', 'DLU0835', 'B', null, '029')
receber values(28153, '32313', '01526255', '2011/11/22', '2011/12/06', 389180, 389180, 0, 'NF', 'DLU0835', 'T', null, '029')
receber values(33205, '32313', '01528163', '2011/11/25', '2011/12/09', 234600, 234600, 0, 'NF', 'DLU0835', 'T', null, '029')
receber values(34961, '32313', '01529898', '2011/11/29', '2011/12/13', 143930, 143930, 0, 'NF', 'DLU0835', 'T', null, '029')
receber values(29, '32313', '850008', '2011/08/29', '2011/08/23', 506000, 698280, 192280, 'CHQ', 'INEXIST', 'T', null, '029')
receber values(1491, '32423', '01367141', '2011/01/19', '2011/01/24', 257050, 628490, 371440, 'NF', 'KYK5632', 'T', null, '029')
receber values(1492, '32423', '01369211', '2011/01/24', '2011/01/29', 264780, 640770, 375990, 'NF', 'KYK5632', 'T', null, '029')
receber values(1493, '32423', '01369212', '2011/01/24', '2011/01/29', 106100, 256760, 150660, 'NF', 'KYK5632', 'T', null, '029')
receber values(1494, '32423', '01370578', '2011/01/26', '2011/01/31', 300200, 723480, 423280, 'NF', 'KYK5632', 'T', null, '029')
receber values(16326, '32730', '01514724', '2011/11/01', '2011/11/22', 404720, 406740, 2020, 'NF', 'KMN4639', 'B', null, '029')
receber values(21951, '32730', '01518399', '2011/11/08', '2011/11/29', 168800, 168800, 0, 'NF', 'LUP0560', 'B', null, '029')
receber values(21952, '32730', '01521654', '2011/11/14', '2011/12/05', 279160, 279160, 0, 'NF', 'LRX2193', 'T', null, '029')
receber values(21953, '32730', '01521655', '2011/11/14', '2011/12/05', 372190, 372190, 0, 'NF', 'LRX2193', 'T', null, '029')
receber values(21954, '32730', '01522086', '2011/11/15', '2011/12/06', 462800, 462800, 0, 'NF', 'KRB6158', 'T', null, '029')
receber values(28154, '32730', '01523557', '2011/11/17', '2011/12/08', 232350, 232350, 0, 'NF', 'KXH2344', 'T', null, '029')
receber values(28155, '32730', '01525254', '2011/11/21', '2011/12/12', 662130, 662130, 0, 'NF', 'KMN4639', 'T', null, '029')
receber values(28156, '32730', '01525991', '2011/11/22', '2011/12/13', 83600, 83600, 0, 'NF', 'KXH2344', 'T', null, '029')
receber values(6565, '32749', '01497179', '2011/09/29', '2011/10/27', 1905320, 1905320, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(6566, '32749', '01498722', '2011/10/03', '2011/10/31', 55800, 55800, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(6567, '32749', '01500917', '2011/10/06', '2011/11/03', 1025160, 1025160, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(6568, '32749', '01504709', '2011/10/13', '2011/11/10', 510600, 510600, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(13733, '32749', '01511961', '2011/10/27', '2011/11/24', 345300, 345300, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(21955, '32749', '01515531', '2011/11/03', '2011/12/01', 1941200, 1941200, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(21956, '32749', '01516544', '2011/11/04', '2011/12/02', 74790, 74790, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(21957, '32749', '01517444', '2011/11/07', '2011/12/05', 283900, 283900, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(32172, '32749', '01527167', '2011/11/24', '2011/12/22', 579400, 579400, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(6569, '32751', '01496987', '2011/09/29', '2011/10/27', 807820, 807820, 0, 'NF', 'LQO1343', 'B', null, '029')
receber values(6570, '32751', '01500801', '2011/10/06', '2011/11/03', 208390, 208390, 0, 'NF', 'LQO1343', 'B', null, '029')
receber values(6571, '32751', '01504592', '2011/10/13', '2011/11/10', 558100, 558100, 0, 'NF', 'LQO1343', 'B', null, '029')
receber values(11370, '32751', '01509726', '2011/10/24', '2011/11/21', 1042730, 1042730, 0, 'NF', 'LQO1343', 'B', null, '029')
receber values(13734, '32751', '01511845', '2011/10/27', '2011/11/24', 240000, 240000, 0, 'NF', 'LQO1343', 'B', null, '029')
receber values(21958, '32751', '01515667', '2011/11/03', '2011/12/01', 1692710, 1692710, 0, 'NF', 'LQO1343', 'T', null, '029')
receber values(21959, '32751', '01516420', '2011/11/04', '2011/12/02', 246670, 246670, 0, 'NF', 'LQO1343', 'T', null, '029')
receber values(21960, '32751', '01517239', '2011/11/07', '2011/12/05', 142350, 142350, 0, 'NF', 'LQO1343', 'T', null, '029')
receber values(21961, '32751', '01519640', '2011/11/10', '2011/12/08', 143870, 143870, 0, 'NF', 'LQO1343', 'T', null, '029')
receber values(32173, '32751', '01527068', '2011/11/24', '2011/12/22', 459800, 459800, 0, 'NF', 'LQO1343', 'T', null, '029')
receber values(1495, '32836', '01502013', '2011/10/07', '2011/10/17', 290240, 310560, 20320, 'NF', 'LSX0479', 'B', null, '029')
receber values(1496, '32836', '01505362', '2011/10/13', '2011/10/23', 384800, 400190, 15390, 'NF', 'LSX0479', 'B', null, '029')
receber values(6572, '32836', '01509141', '2011/10/21', '2011/10/31', 351400, 367210, 15810, 'NF', 'LSX0479', 'B', null, '029')
receber values(13735, '32836', '01512590', '2011/10/27', '2011/11/06', 317600, 322360, 4760, 'NF', 'LSX0479', 'B', null, '029')
receber values(18902, '32836', '01516258', '2011/11/03', '2011/11/13', 376800, 393760, 16960, 'NF', 'LGY8427', 'B', null, '029')
receber values(21962, '32836', '01518828', '2011/11/08', '2011/11/18', 437090, 445830, 8740, 'NF', 'LSX0479', 'B', null, '029')
receber values(21963, '32836', '01520823', '2011/11/11', '2011/11/21', 439900, 442100, 2200, 'NF', 'LSX0479', 'T', null, '029')
receber values(28157, '32836', '01523198', '2011/11/16', '2011/11/26', 346400, 346400, 0, 'NF', 'LSX0479', 'T', null, '029')
receber values(28158, '32836', '01525690', '2011/11/21', '2011/12/01', 400400, 400400, 0, 'NF', 'LSX0479', 'T', null, '029')
receber values(33206, '32836', '01528149', '2011/11/25', '2011/12/05', 544470, 544470, 0, 'NF', 'LSX0479', 'T', null, '029')
receber values(34962, '32836', '01529983', '2011/11/29', '2011/12/09', 384800, 384800, 0, 'NF', 'LSX0479', 'T', null, '029')
receber values(1497, '33015', '01504710', '2011/10/13', '2011/10/23', 241750, 246590, 4840, 'NF', 'KYK5632', 'B', null, '029')
receber values(13736, '33015', '01511969', '2011/10/27', '2011/11/06', 502480, 565290, 62810, 'NF', 'KYK5632', 'T', null, '029')
receber values(21964, '33015', '01517452', '2011/11/07', '2011/11/17', 321280, 343770, 22490, 'NF', 'KYK5632', 'T', null, '029')
receber values(1498, '33159', '01494510', '2011/09/23', '2011/10/07', 308300, 349920, 41620, 'NF', 'LSX0479', 'B', null, '029')
receber values(1499, '33159', '01502008', '2011/10/07', '2011/10/21', 125600, 133760, 8160, 'NF', 'LSX0479', 'B', null, '029')
receber values(6573, '33159', '01507410', '2011/10/18', '2011/11/01', 216600, 225260, 8660, 'NF', 'LSX0479', 'T', null, '029')
receber values(6574, '33159', '01507983', '2011/10/19', '2011/11/02', 333100, 344760, 11660, 'NF', 'LSX0479', 'T', null, '029')
receber values(21965, '33159', '01516799', '2011/11/04', '2011/11/18', 291410, 297240, 5830, 'NF', 'LSX0479', 'T', null, '029')
receber values(21966, '33159', '01519540', '2011/11/09', '2011/11/23', 219620, 219620, 0, 'NF', 'LSX0479', 'T', null, '029')
receber values(6575, '33334', '01501745', '2011/10/07', '2011/10/28', 345920, 366680, 20760, 'NF', 'KYV1613', 'B', null, '029')
receber values(6576, '33334', '01503544', '2011/10/11', '2011/11/01', 1346380, 1346380, 0, 'NF', 'KMM5715', 'B', null, '029')
receber values(11371, '33335', '01509887', '2011/10/24', '2011/11/14', 651580, 677640, 26060, 'NF', 'KYK5632', 'B', null, '029')
receber values(11372, '33335', '01510629', '2011/10/25', '2011/11/15', 185550, 192040, 6490, 'NF', 'KYK5632', 'B', null, '029')
receber values(6577, '33336', '01503563', '2011/10/11', '2011/11/01', 154800, 160990, 6190, 'NF', 'KYV1613', 'B', null, '029')
receber values(6578, '33336', '01504630', '2011/10/13', '2011/11/03', 228900, 235770, 6870, 'NF', 'KYV1613', 'B', null, '029')
receber values(6579, '33336', '01506805', '2011/10/18', '2011/11/08', 754150, 757920, 3770, 'NF', 'KYV1613', 'T', null, '029')
receber values(11373, '33336', '01510543', '2011/10/25', '2011/11/15', 144960, 150030, 5070, 'NF', 'KYV1613', 'B', null, '029')
receber values(21967, '33336', '01518193', '2011/11/08', '2011/11/29', 399340, 399340, 0, 'NF', 'KYV1613', 'T', null, '029')
receber values(6580, '33337', '01500925', '2011/10/06', '2011/10/27', 1379020, 1379020, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(6581, '33337', '01505570', '2011/10/14', '2011/11/04', 626400, 626400, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(6582, '33337', '01506283', '2011/10/17', '2011/11/07', 1637400, 1653770, 16370, 'NF', 'KYK5632', 'T', null, '029')
receber values(6583, '33337', '01506284', '2011/10/17', '2011/11/06', 2291120, 2325490, 34370, 'NF', 'KYK5632', 'T', null, '029')
receber values(6584, '33337', '01506285', '2011/10/17', '2011/11/06', 606340, 615440, 9100, 'NF', 'KYK5632', 'T', null, '029')
receber values(11374, '33337', '01509890', '2011/10/24', '2011/11/14', 2897800, 2926780, 28980, 'NF', 'KYK5632', 'B', null, '029')
receber values(16327, '33337', '01513380', '2011/10/31', '2011/11/21', 2934200, 2948870, 14670, 'NF', 'KYK5632', 'B', null, '029')
receber values(21968, '33337', '01517453', '2011/11/07', '2011/11/28', 318000, 318000, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(21969, '33337', '01517454', '2011/11/07', '2011/11/28', 1726300, 1726300, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(28159, '33337', '01524283', '2011/11/18', '2011/12/09', 1102800, 1102800, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(1500, '33395', '01504703', '2011/10/13', '2011/10/23', 945710, 950440, 4730, 'NF', 'KYK5632', 'B', null, '029')
receber values(6585, '33395', '01505893', '2011/10/16', '2011/10/26', 248800, 248800, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(6586, '33395', '01508175', '2011/10/20', '2011/10/30', 486950, 496690, 9740, 'NF', 'KYK5632', 'B', null, '029')
receber values(6587, '33395', '01509266', '2011/10/23', '2011/11/02', 736800, 740480, 3680, 'NF', 'CXV9668', 'B', null, '029')
receber values(13737, '33395', '01511956', '2011/10/27', '2011/11/06', 520930, 520930, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(18903, '33395', '01515524', '2011/11/03', '2011/11/13', 322040, 326870, 4830, 'NF', 'KYK5632', 'B', null, '029')
receber values(21970, '33395', '01518258', '2011/11/08', '2011/11/18', 459500, 459500, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(21971, '33395', '01522001', '2011/11/15', '2011/11/25', 706210, 706210, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(28160, '33395', '01523443', '2011/11/17', '2011/11/27', 477200, 477200, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(28161, '33395', '01524628', '2011/11/20', '2011/11/30', 1266200, 1266200, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(33207, '33395', '01527932', '2011/11/25', '2011/12/05', 488360, 488360, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(34030, '33395', '01528778', '2011/11/28', '2011/12/08', 182030, 182030, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(1501, '33494', '01503947', '2011/10/12', '2011/10/22', 248940, 251430, 2490, 'NF', 'KYK5632', 'B', null, '029')
receber values(16328, '33494', '01514923', '2011/11/02', '2011/11/12', 256770, 261910, 5140, 'NF', 'KYK5632', 'B', null, '029')
receber values(28162, '33494', '01522686', '2011/11/16', '2011/11/26', 223150, 223150, 0, 'NF', 'KYK5632', 'B', null, '029')
receber values(33208, '33494', '01528261', '2011/11/27', '2011/12/07', 117800, 117800, 0, 'NF', 'KYK5632', 'T', null, '029')
receber values(6588, '34072', '01497148', '2011/09/29', '2011/10/27', 2213520, 2213520, 0, 'NF', 'LBT3689', 'B', null, '029')
